time,open,rolling_average
2021-01-13 00:15:00,20.1,0.03541162790697675
2021-01-13 00:30:00,20.1,0.04799244761685471
2021-01-13 00:45:00,20.1,0.051599393982332036
2021-01-13 01:00:00,20.1,0.05000546385409597
2021-01-13 01:15:00,20.1,0.06067957769484702
2021-01-13 01:30:00,20.1,0.0688655210949122
2021-01-13 01:45:00,20.1,0.06631715867092249
2021-01-13 02:00:00,20.1,0.06480469830307659
2021-01-13 02:15:00,20.1,0.07422411860111226
2021-01-13 02:30:00,20.1,0.07209942447098497
2021-01-13 02:45:00,20.1,0.06258976944577763
2021-01-13 03:00:00,20.1,0.06211583568583296
2021-01-13 03:15:00,20.1,0.06664369927846928
2021-01-13 03:30:00,20.1,0.0552267298613921
2021-01-13 03:45:00,20.15,0.05306931008292916
2021-01-13 04:00:00,20.15,0.06926047497588408
2021-01-13 04:15:00,20.15,0.07407149095325585
2021-01-13 04:30:00,20.15,0.06761579172778254
2021-01-13 04:45:00,20.15,0.07845496323941044
2021-01-13 05:00:00,20.15,0.0794353779198483
2021-01-13 05:15:00,20.36,0.0681053939159108
2021-01-13 05:30:00,20.36,0.07506756823651073
2021-01-13 05:45:00,20.36,0.08082878481042141
2021-01-13 06:00:00,20.36,0.07125124817229511
2021-01-13 06:15:00,20.1,0.06200157317361626
2021-01-13 06:30:00,20.25,0.06767950572610738
2021-01-13 06:45:00,20.47,0.06709934691904451
2021-01-13 07:00:00,20.32,0.06809625425363063
2021-01-13 07:15:00,20.2499,0.07321264615912408
2021-01-13 07:30:00,20.2601,0.06969503649369657
2021-01-13 07:45:00,20.44,0.06867534428094212
2021-01-13 08:00:00,20.39,0.06315974180474238
2021-01-13 08:15:00,20.36,0.06172602121062614
2021-01-13 08:30:00,20.37,0.06295658493440956
2021-01-13 08:45:00,20.42,0.05902316692915023
2021-01-13 09:00:00,22.33,0.055529099419974914
2021-01-13 09:15:00,22.93,0.053480054322063056
2021-01-13 09:30:00,25.905,0.058451708168216904
2021-01-13 09:45:00,29.01,0.05816224823604335
2021-01-13 10:00:00,27.4122,0.05934224997457653
2021-01-13 10:15:00,28.6301,0.061353355623735964
2021-01-13 10:30:00,31.1244,0.06392466335841326
2021-01-13 10:45:00,33.07,0.06817922591793035
2021-01-13 11:00:00,38.39,0.0757449517135437
